Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g),Ingredients,Instructions
"Spicy Salad with Kidney Beans, Cheddar, and Nuts",1,10,http://spoonacular.com/-1384191937003,https://img.spoonacular.com/recipes/157344-556x370.jpg,719.45,49.33,11.22,51.2,"15 grams almonds, 1/2 avocado, 5 ml balsamic vinegar, 1/4 cup (30 grams) cheddar cheese, 1/2 cup (113 grams) cooked kidney beans, 150 grams mixed greens, 10 ml olive oil, 15 grams roasted salted cashews, 2-3 sundried tomatoes, 2 dashes (or more if you like it hot!) Tabasco","<p>     1. Rinse and drain the kidney beans, cut the sundried tomatoes, and tear the slice of cheese into small pieces.</p><p>     2. Put the mixed greens in a bowl and top with kidney beans, sundried tomatoes, cheddar cheese, and nuts.</p><p>     3. Mix together the olive oil, balsamic vinegar, and hot sauce in a small bowl. Pour the dressing over the salad.</p><p>     Fast, easy, and healthy-- one of my favorite lunches!</p>"
Layered Baked Eggplant Parmesan,4,60,https://www.foodista.com/recipe/6P26YNZH/layered-baked-eggplant-parmesan,https://img.spoonacular.com/recipes/649340-556x370.jpg,514.65,23.78,12.74,46.09,"1 cup Italian breadcrumbs, 2 medium eggplants, 2 large Eggs, hard boiled, peeled and chopped, 2 tsp Italian seasoning, 2 tsp Onion Powder, 1 cup shredded Parmesan cheese, 2 cups shredded mozzarella cheese, 1 25 oz jar of your favorite tomato sauce, 4 TBSP Water","<ol><li>Preheat oven to 375 degrees Fahrenheit. Place a sheet of aluminum foil on baking sheet. Spray with olive oil cooking spray. Slice ends off of eggplant and peel skin off with a vegetable peeler. Slice into  inch pieces.</li><li>In a shallow container, add eggs and water. Whisk to combine. In a separate container, add breadcrumbs, Italian seasoning and onion powder. Mix together. Dip eggplant slices into egg mixture. Let excess drip off and then dip into breadcrumbs. Coat evenly with breadcrumbs, pressing them onto the sides.</li><li>Place on baking sheet. Spray tops lightly with olive oil spray. Place in oven and cook for 20 minutes. Flip over and cook for another 20 minutes, until the tops are golden brown.</li><li>Remove from oven. In a 8 by 8 baking sheet, add  a cup of tomato sauce to the bottom spread evenly. Add 4 slices eggplant. Top with  cup cheese and  cup shredded Parmesan cheese. Add 3 more layers of sauce, eggplant and cheese.</li><li>Place back in oven and bake till cheese gets slightly browned on top, about 15 minutes. ENJOY!</li></ol>"
Beef Carrot Stew,1,45,https://www.afrolems.com/2016/05/26/beef-carrot-stew/,https://img.spoonacular.com/recipes/769754-556x370.jpg,86.8,4.07,1.03,10.92,"1 tablespoon of chopped Scent leaves, 8 Pieces of medium Beef (Seasoned and Boiled), 7 medium pieces of Carrots, 1/2 teaspoon of Curry, 1 clove of Garlic, 1 teaspoon of grated Ginger, Seasoning cubes, 1 small bulb of Onion, 2 cooking spoons of Blended Tatashe-Pepper Mix (Bell peppers and scotch bonnet peppers), 2 Cooking spoons of Vegetable Oil","Scrape, wash and boil your carrots till soft.Place in a blender without water and grind till completely shredded.In a pot, heat up your oil and fry your onions, garlic and ginger.Pour in your Tatashe-pepper mix and your beef and allow to simmer on low heat for about 10-15 minutes.Season with curry, seasoning cubes and anything else you may wish to add.Pour in your carrots and stir in and allow to simmer on low heat for another 3-5 minutes.Add your chopped scent leaves and stir in and serve hot with rice, yam, plantain, pasta or any other accompaniment of your choice. "
"Corn Chowder with Potatoes, Poblanos, and Smoked Gouda",6,45,https://www.foodista.com/recipe/6K74DSKF/corn-chowder-with-potatoes-poblanos-and-smoked-gouda,https://img.spoonacular.com/recipes/640077-556x370.jpg,316.27,14.01,8.34,43.82,"1 bay leaf, Chopped chives, for garnishing, 4 cups fresh or frozen corn, 4 sprigs fresh thyme, ¼ cup grated smoked cheddar or Gouda cheese, 1 cup half-and-half, 1 medium onion, chopped, 2 poblano chiles, roasted, peeled, and diced, or 1 (4-ounce) can diced roasted chiles, 1 pound small potatoes, sliced, 1 teaspoon salt, 3 tablespoons unsalted butter, 1 tablespoon water","<ol><li>In a large saut pan, melt the butter over medium heat and saut the onion for about 10 minutes, or until lightly browned.</li><li>Transfer the onion to a 7-quart slow cooker and add the potatoes, bay leaf, thyme, and water. Cover and cook on LOW for about 4 hours, or until the potatoes are tender.</li><li>Mash some of the potatoes against the inside of the cooker or use a handheld immersion blender to puree a small amount of potato and thicken the soup slightly.</li><li>Add the corn, chiles, half-and-half, and  cup of the cheddar. Add the salt to taste and continue cooking for 20 to 30 minutes, or just until all the ingredients are hot.</li><li>Ladle the soup into bowls and garnish each bowl with the remaining cheddar and chopped chives.</li></ol>"
Rice Stuffed Bell Peppers (Zeytinyagli Biber Dolmasi),5,45,https://www.foodista.com/recipe/7MKXMMCN/rice-stuffed-bell-peppers-zeytinyagli-biber-dolmasi,https://img.spoonacular.com/recipes/658287-556x370.jpg,173.56,3.64,0.57,33.64,"1/2 teaspoon allspice, 2 pounds ( - 1kg) Bell peppers, 1/4 teaspoon cinnamon, 1 tablespoon dried/fresh mint, 1 tablespoon Olive oil, 2 onions, finely chopped, 100 grams of rice, 1 tablespoon salt, 1/2 teaspoon sugar, 1/2 tomato, sliced 4 pieces for caps, 1 teaspoon tomato paste, 1 cup hot water","<ol><li>Cut tops off peppers, remove seeds and wash.</li><li>Saute onions with olive oil lightly.</li><li>Stir in chopped tomatoes and tomato paste.</li><li>Saut for 3 more minutes.</li><li>Add the rice and braise for 5 minutes.</li><li>Then add salt, sugar, the spices and, hot water.</li><li>Simmer until all liquid is evaporated.</li><li>Let it cool for a while.</li><li>With a spoon fill the peppers with the mixture.</li><li>Place one slice of tomato as a cap on top of each pepper.</li><li>In a large saucepan or pot, place the rice stuffed bell peppers. Add water, enough to almost cover half height of the peppers.</li><li>Close the lid and cook on low heat, for about 15-20 minutes.</li><li>Serve warm or hot.</li><li>ENJOY</li></ol>"
Oreo Hazelnut and Banana Cheesecake,10,300,http://www.foodista.com/recipe/FGN6S8VQ/oreo-hazelnut-and-banana-cheesecake,https://img.spoonacular.com/recipes/654032-556x370.jpg,414.88,31.67,18.62,28.7,"2 Bananas (120g skinless), mashed, 60g Melted butter, 250g Cream cheese, 20g Gelatin powder, 1/2 tbsp Lemon juice, 2 tablespoons Milk, 70g Nutella, 270g Oreo cookies, 50g Water, 300g Fresh whipping cream","<ol><li>Mix crushed Oreo cookies with butter and press them firmly into a  9 inch cake pan. Put in  refrigerator and chill until firm.</li><li>Whisk fresh whipping cream until soft peaks form, set aside</li><li>Put gelatin and water in a bowl and soak for a while. Then place the bowl in a double boiler and heat until gelatin dissolves. Set aside.</li><li>Beat cream cheese at medium speed with 3 tablespoon of fresh milk until smooth.</li><li>Add in hazelnut spread, continue to beat for about 1 minute.</li><li>Mash bananas and mix well with 1/2 tbsp lemon juice then add into the cream cheese mixture, mix well again and transfer to a large bowl.</li><li>Add whipped cream to the cream cheese mixture with a hand whisk, mix well and add dissolved gelatin into it. </li><li>Lastly fold in 20g crushed Oreo cookies with a rubber spatula.</li><li>Pour cream cheese mixture into prepared cake pan and refrigerator for at least 4 hours or overnight.</li><li>Remove chilled cheesecake from cake pan and sprinkle extra crushed Oreo biscuits over it.</li></ol>"
"Farfalle with Peas, Ham and Cream",4,30,http://www.foodista.com/recipe/V7DKVTXY/farfalle-with-peas-ham-and-cream,https://img.spoonacular.com/recipes/642583-556x370.jpg,397.04,16.0,9.72,48.3,"1 teaspoon butter, 3-4 slices of ham, diced, Farfalle Pasta, or any shape pasta desired, ½ cup heavy cream ( milk can be a substitute), ½ cup parmesan cheese, 1 cup frozen peas, Salt and pepper","<ol><li>Cook pasta according to package directions.</li><li>In a skillet add the peas, butter, ham. Sautee for 5 minutes. Add the cream, salt and pepper and cook under medium heat for 5 to 10 minutes, or until the cream is slightly becoming thick. Remove from heat. When the pasta is cooked and drained, return to pan and add the sauce. Stir well and add the cheese.</li><li>Serve nice and hot.</li></ol>"
Royal Wedding Pear and Coriander Scones,8,45,https://www.foodista.com/recipe/FS6V8XD5/royal-wedding-pear-and-coriander-scones,https://img.spoonacular.com/recipes/658850-556x370.jpg,284.2,16.24,8.99,32.84,"1 pear, peeled, cored and chopped, 2 cups of gluten-free flour, 1 teaspoon xanthan gum), 1 teaspoon baking soda, 1 tablespoon baking powder, 1/2 teaspoon salt, 8 tablespoons cold unsalted butter, cubed, 1/4 cup sucanat, 2 eggs, separated, 1/2 cup sour cream, 1 teaspoon coriander","Preheat your oven to 400. In a large bowl, whisk together flour, soda, powder and salt. Cut in the butter with your fingers until grainy, like cornmeal. Add sugar and whisk in. Add pear and toss in. Make a well in the center and fill with 1 egg and sour cream.  Mix in with a fork until the dough comes together. Turn out onto a floured board and knead slightly until smooth.  Roll into a log and cut into 8 triangles and place on an ungreased cookie sheet. Place the coriander between two pieces of wax paper and gently break with a rolling pin until crushed.  Try not to lose yourself in the gorgeous fragrance! Gently wash the tops of the scones with the remaining beaten egg and sprinkle with coriander. Bake for 16 minutes or until browned on top."
Hatch Chile Cornbread Muffins,12,45,https://www.foodista.com/recipe/7R8T5ZLB/hatch-chile-cornbread-muffins,https://img.spoonacular.com/recipes/646340-556x370.jpg,207.41,10.6,5.96,21.29,"3/4 cup milk, 8 oz can cream-style corn, melted butter, 2 fresh eggs, beaten (thank you Peeps!), 1 1/2 cups white, yellow or blue cornmeal, 1 teaspoon baking powder, 1/2 teaspoon baking soda, 1 teaspoon salt, 1 teaspoon sugar, 1 1/2 cups mixed shredded cheddar cheese and Monterrey Jack cheese, 5 fresh green chiles, roasted, peeled, seeded, deveined and chopped OR 4- oz. can","Preheat oven to 400 degrees.  Line 18 muffin cups with paper liners or grease and flour each cup. In a medium-size bowl, stir together milk, corn, butter and eggs. In a large bowl, whisk together cornmeal, baking powder, baking soda, salt and sugar.  Add mixture from medium-size bowl to dry ingredients and mix just until combined.  Do not overmix. Spoon a large spoonful of batter into each cup, filling about 1/3 of each cup, and top with a little cheese mixture and green chile, dividing evenly and reserving a little for sprinkling on top.  Top with batter and reserved cheese and green chile.  Each cup should be about two-thirds full. Bake 25 to 30 minutes, or until muffins are golden and a wooden pick inserted in the center comes out clean."
5-Minute Rocky Road Fudge,15,45,https://www.foodista.com/recipe/HYGDSRK2/5-minute-rocky-road-fudge,https://img.spoonacular.com/recipes/631882-556x370.jpg,329.16,18.89,7.32,36.39,"2 c. (12 oz. pkg.) semi-sweet chocolate chips, 14 oz. can sweetened condensed milk, 1 t. vanilla extract, 1/8 t. salt, 3 c. mini-marshmallows, 1 1/2 c. toasted, chopped walnuts","Line a 13x9-inch pan with foil, lightly spray with cooking spray. Set aside. In a large, microwave safe bowl, add chocolate chips and condensed milk. Microwave for about 40 seconds, or until the chips are just melted when you stir them. If needed, continue to microwave in 15 second increments until melted. Do not overcook. Immediately stir in vanilla and salt. Then fold in the marshmallows and nuts. Working quickly, spread and press fudge into the prepared pan. Refrigerate until completely cooled before cutting into squares."
