id,title,image,servings,readyInMinutes,dishTypes,cuisines,ingredients
715415,Red Lentil Soup with Chicken and Turnips,https://img.spoonacular.com/recipes/715415-556x370.jpg,8,55,"lunch, soup, main course, main dish, dinner",,"additional toppings: avocado, carrots, celery stalks, chicken breast, flat leaf parsley, garlic, olive oil, canned tomatoes, lentils, salt and pepper, turnip, vegetable stock, onion"
716406,Asparagus and Pea Soup: Real Convenience Food,https://img.spoonacular.com/recipes/716406-556x370.jpg,2,20,"antipasti, soup, starter, snack, appetizer, antipasto, hor d'oeuvre",,"asparagus, evoo, garlic, onion, peas, vegetable broth"
644387,Garlicky Kale,https://img.spoonacular.com/recipes/644387-556x370.jpg,2,45,side dish,,"balsamic vinegar, garlic, curly kale, olive oil"
715446,Slow Cooker Beef Stew,https://img.spoonacular.com/recipes/715446-556x370.jpg,6,490,"lunch, soup, main course, main dish, dinner",,"beef broth, carrots, celery, cream of mushroom soup, green onions, new potatoes, onion, dale's seasoning, stew meat, water"
782601,Red Kidney Bean Jambalaya,https://img.spoonacular.com/recipes/782601-556x370.jpg,6,45,"lunch, main course, main dish, dinner","Cajun, Creole","brown rice, carrots, celery, celery seed, kidney beans, marjoram, thyme, eggplant, garlic, green beans, ground pepper, ground sage, liquid smoke, olive oil, bell pepper, onion, sea salt, sriracha, tomatoes, vegetable stock"
716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",https://img.spoonacular.com/recipes/716426-556x370.jpg,8,30,"side dish, antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre","Chinese, Asian","grapeseed oil, coconut oil, scallions, garlic, cauliflower, brown rice, broccoli, peas, soy sauce, sesame oil, sesame seeds, additional scallion tops, salt"
716004,Quinoa and Chickpea Salad with Sun-Dried Tomatoes and Dried Cherries,https://img.spoonacular.com/recipes/716004-556x370.jpg,6,45,"lunch, main course, main dish, dinner",,"cashews, dried cherries, dried chickpeas, dried thyme, ground cumin, honey, juice of orange, olive oil, quinoa, red wine vinegar, sea-salt, sun-dried tomatoes, turmeric"
716627,Easy Homemade Rice and Beans,https://img.spoonacular.com/recipes/716627-556x370.jpg,2,35,"side dish, lunch, main course, main dish, dinner",,"black beans, canned tomatoes, chili powder, cumin, ground pepper, optional: of hot sauce, olive oil, onion, rice, water"
664147,Tuscan White Bean Soup with Olive Oil and Rosemary,https://img.spoonacular.com/recipes/664147-556x370.jpg,6,45,"lunch, soup, main course, main dish, dinner",,"bay leaf, rosemary, garlic, olive oil, onion, salt, water, beans"
640941,Crunchy Brussels Sprouts Side Dish,https://img.spoonacular.com/recipes/640941-556x370.jpg,4,30,side dish,,"pepper, brussels sprouts, dijon mustard, honey, olive oil, red wine vinegar, walnuts"
